image_id,fold_id,fold_role
1112,3,train
1112,4,train
1113,0,train
1113,1,train
1113,2,train
1113,3,val
1113,4,train
1114,0,train
1114,1,val
1114,2,train
1114,3,train
1114,4,train
1115,0,train
1115,1,val
1115,2,train
1115,3,train
1115,4,train
1116,0,train
1116,1,val
1116,2,train
1116,3,train
1116,4,train
1117,0,train
1117,1,train
1117,2,train
1117,3,train
1117,4,val
1118,0,val
1118,1,train
1118,2,train
1118,3,train
1118,4,train
1119,0,train
1119,1,train
1119,2,train
1119,3,val
1119,4,train
111,0,train
111,1,train
111,2,train
111,3,val
111,4,train
1120,0,val
1120,1,train
1120,2,train
1120,3,train
1120,4,train
1121,0,val
1121,1,train
1121,2,train
1121,3,train
1121,4,train
1122,0,val
1122,1,train
1122,2,train
1122,3,train
1122,4,train
1123,0,train
1123,1,train
1123,2,train
1123,3,train
1123,4,val
1124,0,train
1124,1,val
1124,2,train
1124,3,train
1124,4,train
1125,0,train
1125,1,val
1125,2,train
1125,3,train
1125,4,train
1126,0,train
1126,1,train
1126,2,train
1126,3,train
1126,4,val
1127,0,train
1127,1,val
1127,2,train
1127,3,train
1127,4,train
1128,0,val
1128,1,train
1128,2,train
1128,3,train
1128,4,train
1129,0,train
1129,1,train
1129,2,val
1129,3,train
1129,4,train
112,0,train
112,1,val
112,2,train
112,3,train
112,4,train
1130,0,train
1130,1,val
1130,2,train
1130,3,train
1130,4,train
1131,0,train
1131,1,train
1131,2,val
1131,3,train
1131,4,train
1132,0,train
1132,1,train
1132,2,val
1132,3,train
1132,4,train
1133,0,val
1133,1,train
1133,2,train
1133,3,train
1133,4,train
1134,0,val
1134,1,train
1134,2,train
1134,3,train
1134,4,train
1135,0,train
1135,1,val
1135,2,train
1135,3,train
1135,4,train
1136,0,train
1136,1,val
1136,2,train
1136,3,train
1136,4,train
1137,0,train
1137,1,train
1137,2,train
1137,3,val
1137,4,train
1138,0,train
1138,1,val
1138,2,train
1138,3,train
1138,4,train
1139,0,train
1139,1,val
1139,2,train
1139,3,train
1139,4,train
113,0,train
113,1,train
113,2,val
113,3,train
113,4,train
1140,0,train
1140,1,train
1140,2,val
1140,3,train
1140,4,train
1141,0,train
1141,1,train
1141,2,val
1141,3,train
1141,4,train
1142,0,val
1142,1,train
1142,2,train
1142,3,train
1142,4,train
1143,0,train
1143,1,val
1143,2,train
1143,3,train
1143,4,train
1144,0,train
1144,1,train
1144,2,train
1144,3,val
1144,4,train
1145,0,train
1145,1,val
1145,2,train
1145,3,train
1145,4,train
1146,0,train
1146,1,train
1146,2,val
1146,3,train
1146,4,train
1147,0,train
1147,1,train
1147,2,val
1147,3,train
1147,4,train
1148,0,train
1148,1,val
1148,2,train
1148,3,train
1148,4,train
1149,0,train
1149,1,train
1149,2,train
1149,3,val
1149,4,train
114,0,train
114,1,val
114,2,train
114,3,train
114,4,train
1150,0,train
1150,1,train
1150,2,train
1150,3,train
1150,4,val
1151,0,train
1151,1,train
1151,2,train
1151,3,train
1151,4,val
1152,0,train
1152,1,val
1152,2,train
1152,3,train
1152,4,train
1153,0,train
1153,1,train
1153,2,train
1153,3,train
1153,4,val
1154,0,train
1154,1,train
1154,2,val
1154,3,train
1154,4,train
1155,0,train
1155,1,train
1155,2,train
1155,3,train
1155,4,val
1156,0,train
1156,1,val
1156,2,train
1156,3,train
1156,4,train
1157,0,train
1157,1,train
1157,2,train
1157,3,val
1157,4,train
1158,0,train
1158,1,train
1158,2,train
1158,3,train
1158,4,val
1159,0,val
1159,1,train
1159,2,train
1159,3,train
1159,4,train
115,0,val
115,1,train
115,2,train
115,3,train
115,4,train
1160,0,val
1160,1,train
1160,2,train
1160,3,train
1160,4,train
1161,0,train
1161,1,val
1161,2,train
1161,3,train
1161,4,train
1162,0,train
1162,1,train
1162,2,val
1162,3,train
1162,4,train
1163,0,train
1163,1,val
1163,2,train
1163,3,train
1163,4,train
1164,0,train
1164,1,train
1164,2,train
1164,3,val
1164,4,train
1165,0,val
1165,1,train
1165,2,train
1165,3,train
1165,4,train
1166,0,train
1166,1,train
1166,2,train
1166,3,train
1166,4,val
1167,0,train
1167,1,train
1167,2,train
1167,3,val
1167,4,train
1168,0,train
1168,1,val
1168,2,train
1168,3,train
1168,4,train
1169,0,train
1169,1,train
1169,2,train
1169,3,train
1169,4,val
116,0,train
116,1,train
116,2,train
116,3,train
116,4,val
1170,0,train
1170,1,train
1170,2,val
1170,3,train
1170,4,train
1171,0,train
1171,1,train
1171,2,train
1171,3,val
1171,4,train
1172,0,train
1172,1,train
1172,2,val
1172,3,train
1172,4,train
1173,0,train
1173,1,train
1173,2,train
1173,3,val
1173,4,train
1174,0,train
1174,1,train
1174,2,train
1174,3,train
1174,4,val
1175,0,train
1175,1,train
1175,2,val
1175,3,train
1175,4,train
1176,0,train
1176,1,train
1176,2,train
1176,3,train
1176,4,val
1177,0,train
1177,1,val
1177,2,train
1177,3,train
1177,4,train
1178,0,train
1178,1,train
1178,2,train
1178,3,val
1178,4,train
1179,0,val
1179,1,train
1179,2,train
1179,3,train
1179,4,train
117,0,train
117,1,train
117,2,train
117,3,train
117,4,val
1180,0,val
1180,1,train
1180,2,train
1180,3,train
1180,4,train
1181,0,val
1181,1,train
1181,2,train
1181,3,train
1181,4,train
1182,0,train
1182,1,val
1182,2,train
1182,3,train
1182,4,train
1183,0,train
1183,1,train
1183,2,train
1183,3,train
1183,4,val
1184,0,train
1184,1,val
1184,2,train
1184,3,train
1184,4,train
1185,0,train
1185,1,train
1185,2,val
1185,3,train
1185,4,train
1186,0,train
1186,1,train
1186,2,train
1186,3,val
1186,4,train
1187,0,train
1187,1,train
1187,2,train
1187,3,train
1187,4,val
1188,0,train
1188,1,val
1188,2,train
1188,3,train
1188,4,train
1189,0,train
1189,1,train
1189,2,train
1189,3,val
1189,4,train
118,0,train
118,1,train
118,2,val
118,3,train
118,4,train
1190,0,val
1190,1,train
1190,2,train
1190,3,train
1190,4,train
1191,0,val
1191,1,train
1191,2,train
1191,3,train
1191,4,train
1192,0,train
1192,1,train
1192,2,val
1192,3,train
1192,4,train
1193,0,train
1193,1,train
1193,2,train
1193,3,train
1193,4,val
1194,0,train
1194,1,val
1194,2,train
1194,3,train
1194,4,train
1195,0,train
1195,1,val
1195,2,train
1195,3,train
1195,4,train
1196,0,train
1196,1,val
1196,2,train
1196,3,train
1196,4,train
1197,0,val
1197,1,train
1197,2,train
1197,3,train
1197,4,train
1198,0,train
1198,1,train
1198,2,train
1198,3,val
1198,4,train
1199,0,train
1199,1,val
1199,2,train
1199,3,train
1199,4,train
119,0,val
119,1,train
119,2,train
119,3,train
119,4,train
11,0,train
11,1,train
11,2,val
11,3,train
11,4,train
1200,0,val
1200,1,train
1200,2,train
1200,3,train
1200,4,train
1201,0,train
1201,1,train
1201,2,train
1201,3,train
1201,4,val
1202,0,val
1202,1,train
1202,2,train
1202,3,train
1202,4,train
1203,0,train
1203,1,val
1203,2,train
1203,3,train
1203,4,train
1204,0,train
1204,1,val
1204,2,train
1204,3,train
1204,4,train
1205,0,train
1205,1,train
1205,2,train
1205,3,val
1205,4,train
1206,0,train
1206,1,val
1206,2,train
1206,3,train
1206,4,train
1207,0,train
1207,1,train
1207,2,train
1207,3,train
1207,4,val
1208,0,val
1208,1,train
1208,2,train
1208,3,train
1208,4,train
1209,0,train
1209,1,train
1209,2,train
1209,3,train
1209,4,val
120,0,train
120,1,train
120,2,train
120,3,train
120,4,val
1210,0,train
1210,1,train
1210,2,val
1210,3,train
1210,4,train
1211,0,train
1211,1,val
1211,2,train
1211,3,train
1211,4,train
1212,0,val
1212,1,train
1212,2,train
1212,3,train
1212,4,train
1213,0,train
1213,1,train
1213,2,val
1213,3,train
1213,4,train
1214,0,train
1214,1,train
1214,2,val
1214,3,train
1214,4,train
1215,0,train
1215,1,train
1215,2,train
1215,3,val
1215,4,train
1216,0,train
1216,1,train
1216,2,val
1216,3,train
1216,4,train
1217,0,train
1217,1,train
1217,2,train
1217,3,train
1217,4,val
1218,0,train
1218,1,val
1218,2,train
1218,3,train
1218,4,train
1219,0,train
1219,1,train
1219,2,val
1219,3,train
1219,4,train
121,0,train
121,1,train
121,2,train
121,3,train
121,4,val
1220,0,train
1220,1,train
1220,2,val
1220,3,train
1220,4,train
1221,0,train
1221,1,train
1221,2,train
1221,3,train
1221,4,val
1222,0,train
1222,1,train
1222,2,train
1222,3,val
1222,4,train
1223,0,train
1223,1,train
1223,2,train
1223,3,val
1223,4,train
1224,0,train
1224,1,train
1224,2,train
1224,3,train
1224,4,val
1225,0,train
1225,1,val
1225,2,train
1225,3,train
1225,4,train
1226,0,train
1226,1,train
1226,2,train
1226,3,train
1226,4,val
1227,0,val
1227,1,train
1227,2,train
1227,3,train
1227,4,train
1228,0,train
1228,1,train
1228,2,val
1228,3,train
1228,4,train
1229,0,train
1229,1,train
1229,2,val
1229,3,train
1229,4,train
122,0,train
122,1,train
122,2,train
122,3,val
122,4,train
1230,0,train
1230,1,train
1230,2,train
1230,3,val
1230,4,train
1231,0,train
1231,1,val
1231,2,train
1231,3,train
1231,4,train
1232,0,val
1232,1,train
1232,2,train
1232,3,train
1232,4,train
1233,0,val
1233,1,train
1233,2,train
1233,3,train
1233,4,train
1234,0,train
1234,1,train
1234,2,val
1234,3,train
1234,4,train
1235,0,train
1235,1,train
1235,2,train
1235,3,train
1235,4,val
1236,0,train
1236,1,train
1236,2,train
1236,3,val
1236,4,train
1237,0,train
1237,1,train
1237,2,train
1237,3,val
1237,4,train
1238,0,val
1238,1,train
1238,2,train
1238,3,train
1238,4,train
1239,0,train
1239,1,train
1239,2,train
1239,3,val
1239,4,train
123,0,train
123,1,train
123,2,train
123,3,train
123,4,val
1240,0,val
1240,1,train
1240,2,train
1240,3,train
1240,4,train
1241,0,val
1241,1,train
1241,2,train
1241,3,train
1241,4,train
1242,0,train
1242,1,val
1242,2,train
1242,3,train
1242,4,train
1243,0,train
1243,1,train
1243,2,train
1243,3,val
1243,4,train
1244,0,train
1244,1,train
1244,2,val
1244,3,train
1244,4,train
1245,0,train
1245,1,val
1245,2,train
1245,3,train
1245,4,train
1246,0,val
1246,1,train
1246,2,train
1246,3,train
1246,4,train
1247,0,val
1247,1,train
1247,2,train
1247,3,train
1247,4,train
1248,0,train
1248,1,train
1248,2,train
1248,3,val
1248,4,train
1249,0,train
1249,1,train
1249,2,train
1249,3,train
1249,4,val
124,0,train
124,1,train
124,2,train
124,3,val
124,4,train
1250,0,train
1250,1,val
1250,2,train
1250,3,train
1250,4,train
1251,0,train
1251,1,train
1251,2,train
1251,3,val
1251,4,train
1252,0,train
1252,1,train
1252,2,val
1252,3,train
1252,4,train
1253,0,train
1253,1,train
1253,2,val
1253,3,train
1253,4,train
1254,0,train
1254,1,train
1254,2,val
1254,3,train
1254,4,train
1255,0,train
1255,1,val
1255,2,train
1255,3,train
1255,4,train
1256,0,train
1256,1,train
1256,2,train
1256,3,val
1256,4,train
1257,0,train
1257,1,train
1257,2,val
1257,3,train
1257,4,train
1258,0,train
1258,1,train
1258,2,train
1258,3,train
1258,4,val
1259,0,train
1259,1,train
1259,2,val
1259,3,train
1259,4,train
125,0,val
125,1,train
125,2,train
125,3,train
125,4,train
1260,0,train
1260,1,train
1260,2,train
1260,3,val
1260,4,train
1261,0,val
1261,1,train
1261,2,train
1261,3,train
1261,4,train
1262,0,val
1262,1,train
1262,2,train
1262,3,train
1262,4,train
1263,0,train
1263,1,train
1263,2,val
1263,3,train
1263,4,train
1264,0,train
1264,1,train
1264,2,train
1264,3,val
1264,4,train
1265,0,train
1265,1,val
1265,2,train
1265,3,train
1265,4,train
1266,0,train
1266,1,train
1266,2,val
1266,3,train
1266,4,train
1267,0,val
1267,1,train
1267,2,train
1267,3,train
1267,4,train
1268,0,train
1268,1,val
1268,2,train
1268,3,train
1268,4,train
1269,0,train
1269,1,train
1269,2,train
1269,3,val
1269,4,train
126,0,train
126,1,val
126,2,train
126,3,train
126,4,train
1270,0,val
1270,1,train
1270,2,train
1270,3,train
1270,4,train
1271,0,train
1271,1,val
1271,2,train
1271,3,train
1271,4,train
1272,0,train
1272,1,train
1272,2,val
1272,3,train
1272,4,train
1273,0,train
1273,1,train
1273,2,val
1273,3,train
1273,4,train
1274,0,train
1274,1,val
1274,2,train
1274,3,train
1274,4,train
1275,0,train
1275,1,train
1275,2,train
1275,3,val
1275,4,train
1276,0,train
1276,1,train
1276,2,train
1276,3,train
1276,4,val
1277,0,train
1277,1,val
1277,2,train
1277,3,train
1277,4,train
1278,0,train
1278,1,train
1278,2,train
1278,3,val
1278,4,train
1279,0,train
1279,1,train
1279,2,val
1279,3,train
1279,4,train
127,0,train
127,1,train
127,2,train
127,3,val
127,4,train
1280,0,val
1280,1,train
1280,2,train
1280,3,train
1280,4,train
1281,0,train
1281,1,val
1281,2,train
1281,3,train
1281,4,train
1282,0,train
1282,1,train
1282,2,train
1282,3,train
1282,4,val
1283,0,train
1283,1,train
1283,2,train
1283,3,val
1283,4,train
1284,0,train
1284,1,val
1284,2,train
1284,3,train
1284,4,train
1285,0,train
1285,1,train
1285,2,val
1285,3,train
1285,4,train
1286,0,train
1286,1,train
1286,2,train
1286,3,train
1286,4,val
1287,0,val
1287,1,train
1287,2,train
1287,3,train
1287,4,train
1288,0,train
1288,1,train
1288,2,train
1288,3,train
1288,4,val
1289,0,val
1289,1,train
1289,2,train
1289,3,train
1289,4,train
128,0,train
128,1,val
128,2,train
128,3,train
128,4,train
1290,0,train
1290,1,train
1290,2,train
1290,3,train
1290,4,val
1291,0,train
1291,1,train
1291,2,train
1291,3,train
1291,4,val
1292,0,train
1292,1,train
1292,2,train
1292,3,val
1292,4,train
1293,0,train
1293,1,val
1293,2,train
1293,3,train
1293,4,train
1294,0,train
1294,1,val
1294,2,train
1294,3,train
1294,4,train
1295,0,train
1295,1,train
1295,2,train
1295,3,val
1295,4,train
1296,0,train
1296,1,val
1296,2,train
1296,3,train
1296,4,train
1297,0,train
1297,1,train
1297,2,train
1297,3,train
1297,4,val
1298,0,train
1298,1,train
1298,2,train
1298,3,train
1298,4,val
1299,0,val
1299,1,train
1299,2,train
1299,3,train
1299,4,train
129,0,val
129,1,train
129,2,train
129,3,train
129,4,train
12,0,train
12,1,train
12,2,train
12,3,train
12,4,val
1300,0,train
1300,1,train
1300,2,train
1300,3,train
1300,4,val
1301,0,train
1301,1,train
1301,2,train
1301,3,train
1301,4,val
1302,0,train
1302,1,val
1302,2,train
1302,3,train
1302,4,train
1303,0,train
1303,1,train
1303,2,train
1303,3,val
1303,4,train
1304,0,train
1304,1,val
1304,2,train
1304,3,train
1304,4,train
1305,0,train
1305,1,train
1305,2,train
1305,3,val
1305,4,train
1306,0,train
1306,1,train
1306,2,train
1306,3,train
1306,4,val
1307,0,val
1307,1,train
1307,2,train
1307,3,train
1307,4,train
1308,0,train
1308,1,train
1308,2,train
1308,3,val
1308,4,train
1309,0,train
1309,1,train
1309,2,val
1309,3,train
1309,4,train
130,0,train
130,1,train
130,2,val
130,3,train
130,4,train
1310,0,train
1310,1,train
1310,2,val
1310,3,train
1310,4,train
1311,0,train
1311,1,val
1311,2,train
1311,3,train
1311,4,train
1312,0,train
1312,1,train
1312,2,val
1312,3,train
1312,4,train
1313,0,val
1313,1,train
1313,2,train
1313,3,train
1313,4,train
1314,0,train
1314,1,train
1314,2,val
1314,3,train
1314,4,train
1315,0,train
1315,1,train
1315,2,train
1315,3,train
1315,4,val
1316,0,train
1316,1,train
1316,2,val
1316,3,train
1316,4,train
1317,0,train
1317,1,val
1317,2,train
1317,3,train
1317,4,train
1318,0,train
1318,1,val
1318,2,train
1318,3,train
1318,4,train
1319,0,train
1319,1,train
1319,2,train
1319,3,val
1319,4,train
131,0,train
131,1,train
131,2,train
131,3,val
131,4,train
1320,0,train
1320,1,val
1320,2,train
1320,3,train
1320,4,train
1321,0,train
1321,1,train
1321,2,val
1321,3,train
1321,4,train
1322,0,train
1322,1,train
1322,2,val
1322,3,train
1322,4,train
1323,0,train
1323,1,train
1323,2,train
1323,3,val
1323,4,train
1324,0,train
1324,1,train
1324,2,val
1324,3,train
1324,4,train
1325,0,train
1325,1,train
1325,2,val
1325,3,train
1325,4,train
1326,0,train
1326,1,train
1326,2,val
1326,3,train
1326,4,train
1327,0,train
1327,1,train
1327,2,train
1327,3,train
1327,4,val
1328,0,val
1328,1,train
1328,2,train
1328,3,train
1328,4,train
1329,0,train
1329,1,train
1329,2,train
1329,3,val
1329,4,train
132,0,train
132,1,val
132,2,train
132,3,train
132,4,train
1330,0,train
1330,1,val
1330,2,train
1330,3,train
1330,4,train
1331,0,train
1331,1,train
1331,2,val
1331,3,train
1331,4,train
1332,0,val
1332,1,train
1332,2,train
1332,3,train
1332,4,train
1333,0,val
1333,1,train
1333,2,train
1333,3,train
1333,4,train
1334,0,train
1334,1,train
1334,2,train
1334,3,val
1334,4,train
1335,0,train
1335,1,val
1335,2,train
1335,3,train
1335,4,train
1336,0,val
1336,1,train
1336,2,train
1336,3,train
1336,4,train
1337,0,val
1337,1,train
1337,2,train
1337,3,train
1337,4,train
1338,0,train
1338,1,train
1338,2,train
1338,3,train
1338,4,val
1339,0,train
1339,1,val
1339,2,train
1339,3,train
1339,4,train
133,0,val
133,1,train
133,2,train
133,3,train
133,4,train
1340,0,train
1340,1,val
1340,2,train
1340,3,train
1340,4,train
1341,0,val
1341,1,train
1341,2,train
1341,3,train
1341,4,train
1342,0,train
1342,1,train
1342,2,train
1342,3,val
1342,4,train
1343,0,train
1343,1,train
1343,2,train
1343,3,val
1343,4,train
1344,0,train
1344,1,val
1344,2,train
1344,3,train
1344,4,train
1345,0,train
1345,1,val
1345,2,train
1345,3,train
1345,4,train
1346,0,train
1346,1,train
1346,2,train
1346,3,val
1346,4,train
1347,0,train
1347,1,train
1347,2,val
1347,3,train
1347,4,train
1348,0,train
1348,1,train
1348,2,val
1348,3,train
1348,4,train
1349,0,val
1349,1,train
1349,2,train
1349,3,train
1349,4,train
134,0,train
134,1,train
134,2,val
134,3,train
134,4,train
1350,0,val
1350,1,train
1350,2,train
1350,3,train
1350,4,train
1351,0,train
1351,1,train
1351,2,val
1351,3,train
1351,4,train
1352,0,train
1352,1,train
1352,2,train
1352,3,train
1352,4,val
1353,0,train
1353,1,val
1353,2,train
1353,3,train
1353,4,train
1354,0,train
1354,1,train
1354,2,train
1354,3,train
1354,4,val
1355,0,train
1355,1,train
1355,2,train
1355,3,val
1355,4,train
1356,0,train
1356,1,train
1356,2,val
1356,3,train
1356,4,train
1357,0,train
1357,1,train
1357,2,train
1357,3,val
1357,4,train
1358,0,val
1358,1,train
1358,2,train
1358,3,train
1358,4,train
1359,0,train
1359,1,train
1359,2,val
1359,3,train
1359,4,train
135,0,train
135,1,train
135,2,train
135,3,val
135,4,train
1360,0,train
1360,1,train
1360,2,val
1360,3,train
1360,4,train
1361,0,train
1361,1,train
1361,2,train
1361,3,val
1361,4,train
1362,0,train
1362,1,train
1362,2,val
1362,3,train
1362,4,train
1363,0,train
1363,1,train
1363,2,val
1363,3,train
1363,4,train
1364,0,val
1364,1,train
1364,2,train
1364,3,train
1364,4,train
1365,0,train
1365,1,train
1365,2,train
