canary_name,sample_name,fold,selected_group,unsafe_action_label,unsafe_action_probability,v221_risk_scale,crop_seed,crop_size,target_prob_bin,v221_replay_probability,raw_action_dpsnr,hard_bottom25,easy_top25,strong_reference
canary32,461_0.69_1.94.png,1,negative_lowest_probability,0,9.849054913502187e-05,0.9999507665634155,1500162846,256,"[0.0,0.1)",9.849054913502187e-05,10.969039916992188,1,0,0
canary32,462_0.65_1.65.png,2,negative_lowest_probability,0,0.0003436649276409298,0.9998281598091125,3388575168,256,"[0.0,0.1)",0.0003436649276409298,11.21310806274414,1,0,0
canary32,58_0.53_0.53.png,0,positive_highest_probability,1,0.9949729442596436,0.07090173661708832,3516264803,256,"[0.9,1.0000001)",0.9949729442596436,-2.5663414001464844,0,0,0
canary32,609_0.58_1.34.png,2,positive_highest_probability,1,0.9976853132247925,0.048111192882061005,2733307151,256,"[0.9,1.0000001)",0.9976853132247925,-3.8901023864746094,1,0,0
canary32,684_0.67_1.46.png,1,negative_lowest_probability,0,0.00012912687088828534,0.9999354481697083,1785876050,256,"[0.0,0.1)",0.00012912687088828534,5.697849273681641,1,0,0
canary32,826_0.81_1.2.png,0,negative_lowest_probability,0,0.0002620336308609694,0.9998689889907837,1373914632,256,"[0.0,0.1)",0.0002620336308609694,7.760156631469727,1,0,0
canary32,827_0.72_1.56.png,1,negative_lowest_probability,0,0.0002490864135324955,0.9998754262924194,302960234,256,"[0.0,0.1)",0.0002490864135324955,12.995431900024414,1,0,0
canary32,846_0.68_1.78.png,2,negative_lowest_probability,0,0.0003342731506563723,0.9998328685760498,3171528216,256,"[0.0,0.1)",0.0003342731506563723,4.705326080322266,1,0,0
canary32,922_0.74_0.99.png,0,negative_lowest_probability,0,0.00034667408908717334,0.9998266696929932,4226694955,256,"[0.0,0.1)",0.00034667408908717334,9.744403839111328,1,0,0
canary64,1008_0.52_1.98.png,2,positive_highest_probability,1,0.992476761341095,0.08673660457134247,1056763070,256,"[0.9,1.0000001)",0.992476761341095,-1.4989585876464844,0,0,0
canary64,1058_0.6_1.0.png,1,positive_highest_probability,1,0.9909515380859375,0.09512340277433395,4242199843,256,"[0.9,1.0000001)",0.9909515380859375,-2.407062530517578,0,0,0
canary64,1071_0.69_1.75.png,2,negative_lowest_probability,0,0.00019638834055513144,0.9999017715454102,3807943366,256,"[0.0,0.1)",0.00019638834055513144,4.843828201293945,1,0,0
canary64,1106_0.89_1.69.png,0,negative_lowest_probability,0,0.0006021922454237938,0.9996988773345947,1808429556,256,"[0.0,0.1)",0.0006021922454237938,5.846897125244141,1,0,0
canary64,1107_0.98_1.25.png,1,negative_lowest_probability,0,0.00043114027357660234,0.9997844099998474,3541798311,256,"[0.0,0.1)",0.00043114027357660234,8.589519500732422,1,0,0
canary64,1154_0.96_0.62.png,2,positive_highest_probability,1,0.9945407509803772,0.07388672977685928,2282102389,256,"[0.9,1.0000001)",0.9945407509803772,-1.36956787109375,0,1,1
canary64,1213_0.56_1.24.png,0,negative_lowest_probability,0,8.630001684650779e-05,0.9999568462371826,998779989,256,"[0.0,0.1)",8.630001684650779e-05,7.313716888427734,1,0,0
canary64,1216_0.65_1.09.png,2,negative_lowest_probability,0,0.00019887647067662328,0.9999005198478699,2056547327,256,"[0.0,0.1)",0.00019887647067662328,8.415122985839844,1,0,0
canary64,1248_0.97_1.88.png,1,positive_highest_probability,1,1.0,0.0,310069832,256,"[0.9,1.0000001)",1.0,-3.6177444458007812,1,0,0
canary64,124_0.79_1.89.png,2,negative_lowest_probability,0,0.00040253455517813563,0.9997987151145935,1530552759,256,"[0.0,0.1)",0.00040253455517813563,3.4906044006347656,1,0,0
canary64,1308_0.84_1.04.png,1,negative_lowest_probability,0,9.904188482323661e-05,0.9999504685401917,155565118,256,"[0.0,0.1)",9.904188482323661e-05,2.742694854736328,1,0,0
canary64,1347_0.75_1.79.png,0,negative_lowest_probability,0,0.0002560335269663483,0.9998719692230225,482075645,256,"[0.0,0.1)",0.0002560335269663483,10.818653106689453,1,0,0
canary64,1348_0.85_0.74.png,1,negative_lowest_probability,0,0.00039454104262404144,0.9998027086257935,3417132974,256,"[0.0,0.1)",0.00039454104262404144,6.956684112548828,1,0,0
canary64,1349_0.94_1.22.png,2,negative_lowest_probability,0,0.00026693506515584886,0.9998665452003479,4166008636,256,"[0.0,0.1)",0.00026693506515584886,4.678592681884766,1,0,0
canary64,1372_0.51_0.74.png,2,positive_highest_probability,1,0.9912371635437012,0.09361002594232559,4088420257,256,"[0.9,1.0000001)",0.9912371635437012,-4.423797607421875,0,1,1
canary64,1401_0.77_1.54.png,1,negative_lowest_probability,0,0.0005780752399004996,0.9997109174728394,1011089937,256,"[0.0,0.1)",0.0005780752399004996,5.53125,1,0,0
canary64,1436_0.66_1.76.png,2,positive_highest_probability,1,0.987242579460144,0.11294875293970108,3804083922,256,"[0.9,1.0000001)",0.987242579460144,-0.7095718383789062,0,0,0
canary64,1453_0.64_1.53.png,0,negative_lowest_probability,0,0.00017647484492044896,0.9999117255210876,3099261229,256,"[0.0,0.1)",0.00017647484492044896,7.960727691650391,1,0,0
canary64,1454_0.62_1.48.png,1,negative_lowest_probability,0,8.967805479187518e-05,0.9999551177024841,7221423,256,"[0.0,0.1)",8.967805479187518e-05,7.014717102050781,1,0,0
canary64,1455_0.79_0.88.png,2,negative_lowest_probability,0,0.00046162348007783294,0.9997691512107849,2654704889,256,"[0.0,0.1)",0.00046162348007783294,4.757076263427734,1,0,0
canary64,1478_0.69_1.36.png,1,negative_lowest_probability,0,0.00017261698667425662,0.9999136924743652,3228661701,256,"[0.0,0.1)",0.00017261698667425662,5.455768585205078,1,0,0
canary64,1536_0.73_1.93.png,2,positive_highest_probability,1,0.9884989857673645,0.10724278539419174,1858670785,256,"[0.9,1.0000001)",0.9884989857673645,-0.7456512451171875,0,0,0
canary64,1644_0.53_1.52.png,1,positive_highest_probability,1,0.998478353023529,0.03900829330086708,2501390355,256,"[0.9,1.0000001)",0.998478353023529,-0.8471298217773438,0,1,1
canary64,1686_0.51_0.6.png,0,positive_highest_probability,1,0.9955346584320068,0.06682321429252625,1234133542,256,"[0.9,1.0000001)",0.9955346584320068,-1.0605506896972656,0,1,1
canary64,1806_0.91_0.53.png,2,positive_highest_probability,1,0.9952915906906128,0.06861785054206848,1382742277,256,"[0.9,1.0000001)",0.9952915906906128,-1.08544921875,0,1,1
canary64,1861_0.85_0.51.png,1,positive_highest_probability,1,0.992828905582428,0.08468231558799744,3900964772,256,"[0.9,1.0000001)",0.992828905582428,-0.7037467956542969,0,1,1
canary64,1902_0.89_1.97.png,0,positive_highest_probability,1,0.9904682040214539,0.09763091802597046,135056372,256,"[0.9,1.0000001)",0.9904682040214539,-0.3327598571777344,0,0,0
canary64,215_0.58_0.63.png,1,positive_highest_probability,1,0.9996517896652222,0.018660394474864006,4236511641,256,"[0.9,1.0000001)",0.9996517896652222,-3.2271194458007812,0,1,1
canary64,2166_0.99_0.93.png,0,positive_highest_probability,1,0.9880853891372681,0.10915406793355942,1314079617,256,"[0.9,1.0000001)",0.9880853891372681,-1.7305755615234375,0,0,0
canary64,2167_0.55_0.91.png,1,positive_highest_probability,1,0.9940949082374573,0.07684459537267685,497149995,256,"[0.9,1.0000001)",0.9940949082374573,-1.0619125366210938,0,0,0
canary64,2192_0.68_1.84.png,2,positive_highest_probability,1,0.9941415190696716,0.07654071599245071,3763266895,256,"[0.9,1.0000001)",0.9941415190696716,-0.12599945068359375,0,0,0
canary64,2197_0.51_1.2.png,1,positive_highest_probability,1,0.9940410256385803,0.07719439268112183,3675788086,256,"[0.9,1.0000001)",0.9940410256385803,-1.1889533996582031,0,1,1
canary64,223_1.0_0.79.png,2,positive_highest_probability,1,0.9936240911483765,0.07984928786754608,414766140,256,"[0.9,1.0000001)",0.9936240911483765,-2.0512619018554688,0,0,0
canary64,2425_0.65_0.63.png,2,positive_highest_probability,1,0.998664379119873,0.03654614835977554,2436516596,256,"[0.9,1.0000001)",0.998664379119873,-3.0024452209472656,0,1,1
canary64,2430_0.56_1.8.png,1,positive_highest_probability,1,0.9944158792495728,0.07472697645425797,1094424498,256,"[0.9,1.0000001)",0.9944158792495728,-0.08081817626953125,0,0,0
canary64,2464_0.63_0.75.png,0,positive_highest_probability,1,0.9877475500106812,0.11069078743457794,962376777,256,"[0.9,1.0000001)",0.9877475500106812,-2.7491226196289062,0,1,1
canary64,2476_0.67_0.56.png,2,positive_highest_probability,1,0.9895831346511841,0.10206304490566254,2092690635,256,"[0.9,1.0000001)",0.9895831346511841,-0.8404464721679688,0,1,1
canary64,2694_0.95_0.54.png,1,positive_highest_probability,1,0.988848090171814,0.10560259968042374,1329211114,256,"[0.9,1.0000001)",0.988848090171814,-0.3125648498535156,0,1,1
canary64,2737_0.51_0.6.png,0,positive_highest_probability,1,0.9940662384033203,0.07703091204166412,2538003014,256,"[0.9,1.0000001)",0.9940662384033203,-0.767913818359375,0,1,1
canary64,2804_0.51_1.83.png,2,positive_highest_probability,1,0.9997414946556091,0.016078101471066475,1647094707,256,"[0.9,1.0000001)",0.9997414946556091,-2.7644577026367188,0,0,0
canary64,2881_0.58_1.16.png,1,positive_highest_probability,1,0.993293285369873,0.08189453184604645,1066231039,256,"[0.9,1.0000001)",0.993293285369873,-0.19880294799804688,0,1,1
canary64,2893_0.66_0.92.png,2,positive_highest_probability,1,0.9861130118370056,0.11784306913614273,2770168457,256,"[0.9,1.0000001)",0.9861130118370056,-0.3463592529296875,0,1,1
canary64,2923_0.53_0.64.png,0,positive_highest_probability,1,0.9881746768951416,0.1087443009018898,937996750,256,"[0.9,1.0000001)",0.9881746768951416,-0.4427909851074219,0,1,1
canary64,30_0.69_1.52.png,2,negative_lowest_probability,0,0.00041612263885326684,0.9997919201850891,415614290,256,"[0.0,0.1)",0.00041612263885326684,4.772762298583984,1,0,0
canary64,358_0.51_1.67.png,1,positive_highest_probability,1,0.9994545578956604,0.023354701697826385,2695344696,256,"[0.9,1.0000001)",0.9994545578956604,-4.749393463134766,0,0,0
canary64,452_0.51_0.55.png,2,positive_highest_probability,1,0.998529314994812,0.038349512964487076,954361109,256,"[0.9,1.0000001)",0.998529314994812,-1.3914337158203125,0,1,1
canary64,461_0.69_1.94.png,1,negative_lowest_probability,0,9.849054913502187e-05,0.9999507665634155,1500162846,256,"[0.0,0.1)",9.849054913502187e-05,10.969039916992188,1,0,0
canary64,462_0.65_1.65.png,2,negative_lowest_probability,0,0.0003436649276409298,0.9998281598091125,3388575168,256,"[0.0,0.1)",0.0003436649276409298,11.21310806274414,1,0,0
canary64,465_0.97_1.62.png,0,negative_lowest_probability,0,0.0005883448757231236,0.9997057914733887,1529877135,256,"[0.0,0.1)",0.0005883448757231236,4.356515884399414,1,0,0
canary64,540_0.92_1.97.png,1,negative_lowest_probability,0,0.0005273921997286379,0.9997362494468689,715780657,256,"[0.0,0.1)",0.0005273921997286379,9.930784225463867,1,0,0
canary64,58_0.53_0.53.png,0,positive_highest_probability,1,0.9949729442596436,0.07090173661708832,3516264803,256,"[0.9,1.0000001)",0.9949729442596436,-2.5663414001464844,0,0,0
canary64,609_0.58_1.34.png,2,positive_highest_probability,1,0.9976853132247925,0.048111192882061005,2733307151,256,"[0.9,1.0000001)",0.9976853132247925,-3.8901023864746094,1,0,0
canary64,684_0.67_1.46.png,1,negative_lowest_probability,0,0.00012912687088828534,0.9999354481697083,1785876050,256,"[0.0,0.1)",0.00012912687088828534,5.697849273681641,1,0,0
canary64,707_0.94_1.48.png,2,negative_lowest_probability,0,0.0004463125951588154,0.9997768402099609,2306086585,256,"[0.0,0.1)",0.0004463125951588154,4.162700653076172,1,0,0
canary64,79_0.62_1.54.png,1,negative_lowest_probability,0,0.0004179953830316663,0.9997909665107727,1264411357,256,"[0.0,0.1)",0.0004179953830316663,7.812664031982422,1,0,0
canary64,811_0.69_1.87.png,0,negative_lowest_probability,0,0.0003736447251867503,0.9998131394386292,2959109304,256,"[0.0,0.1)",0.0003736447251867503,3.519134521484375,1,0,0
canary64,826_0.81_1.2.png,0,negative_lowest_probability,0,0.0002620336308609694,0.9998689889907837,1373914632,256,"[0.0,0.1)",0.0002620336308609694,7.760156631469727,1,0,0
canary64,827_0.72_1.56.png,1,negative_lowest_probability,0,0.0002490864135324955,0.9998754262924194,302960234,256,"[0.0,0.1)",0.0002490864135324955,12.995431900024414,1,0,0
canary64,828_0.72_1.9.png,2,negative_lowest_probability,0,0.0005398762295953929,0.9997299909591675,3024199468,256,"[0.0,0.1)",0.0005398762295953929,10.76205825805664,1,0,0
canary64,846_0.68_1.78.png,2,negative_lowest_probability,0,0.0003342731506563723,0.9998328685760498,3171528216,256,"[0.0,0.1)",0.0003342731506563723,4.705326080322266,1,0,0
canary64,909_0.61_1.66.png,1,negative_lowest_probability,0,0.0004441326018422842,0.9997779130935669,700532972,256,"[0.0,0.1)",0.0004441326018422842,3.5504798889160156,1,0,0
canary64,922_0.74_0.99.png,0,negative_lowest_probability,0,0.00034667408908717334,0.9998266696929932,4226694955,256,"[0.0,0.1)",0.00034667408908717334,9.744403839111328,1,0,0
canary64,923_0.59_1.48.png,1,negative_lowest_probability,0,0.0006432131049223244,0.999678373336792,3149313162,256,"[0.0,0.1)",0.0006432131049223244,7.022502899169922,1,0,0
canary64,924_0.77_0.94.png,2,negative_lowest_probability,0,0.000588790571782738,0.9997055530548096,1641454767,256,"[0.0,0.1)",0.000588790571782738,10.624759674072266,1,0,0
